chunk_id,content,metadata,user_id_owner
005299c4-9f9d-4017-9895-c0ae74ebf8c2,"## 4.2.1 Unit Location Recommendations
2. **Outlet from the Room**: The air exits through this outlet to the outside.","{""source"": ""testing1.md"", ""section"": ""4.2.1 Unit Location Recommendations"", ""position"": 75, ""user_id_owner"": ""0032""}",0032
01d1fe3a-61ec-4c37-8c48-bb5f97490e18,"## NOTICE!
Any damages caused by improper transportation, unloading or storage are not covered by the Warrantee and any claims laid by way of aforementioned issues will not be examined by VTS .","{""source"": ""testing1.md"", ""section"": ""NOTICE!"", ""position"": 63, ""user_id_owner"": ""0032""}",0032
04afd363-07c8-418a-9184-e7549ba288b7,"## Preamble
Note! There are two options for time schedule operation. For details, follow manual for uPC3 ![Image](https://gwgxilpxnvsdcsqnyzbj.supabase.co/storage/v1/object/public/user.files/0001/testing1_images/image_000000_9c84c07750648f44d669e076b70a338babd547a1506d76214154aa8b88e7ea66.png) *Image Description:* The image shows a control module with an open door, revealing a detailed interface with various knobs and indicators. On the side, there are colored buttons, possibly for different functions. The left side of the module displays numerical codes and symbols, along with what appears to be a clock symbol. The main panel has labeling and technical symbols, indicating specifications for operation and safety. ![Image](https://gwgxilpxnvsdcsqnyzbj.supabase.co/storage/v1/object/public/user.files/0001/testing1_images/image_000001_997111cf74526ca091308c8fdc4d6398c70692e0897709915f5516dcaacaced3.png) *Image Description:* The image displays a grey circle with a large white letter ""N"" inside it. Operation and Maintenance Manual VENTUS Suspended Air-Handling Units Rated air flow range 280 - 4300 m3/h ![Image](https://gwgxilpxnvsdcsqnyzbj.supabase.co/storage/v1/object/public/user.files/0001/testing1_images/image_000002_47fbe6a1a4076d10a0828ac941cc9e33ec5a2e068c3c61cdf0d53bbe8a32ad37.png) *Image Description:* The image shows the term ""VENTUS"" in a stylized font, likely referring to a product related to HVAC systems, particularly the Ventus suspended air-handling units. VenTUs ![Image](https://gwgxilpxnvsdcsqnyzbj.supabase.co/storage/v1/object/public/user.files/0001/testing1_images/image_000003_799c014a9d2bb6914622fc2323acc61336ae45cc0764f414919406fc751de853.png) *Image Description:* The image appears to be a logo design for ""VTS."" The logo includes the letters ""VTS"" in a bold, modern font, with the 'V' and 'T' in gray and the 'S' in a slightly darker shade. Above the letters, there is an orange arc, resembling a wave or swoosh. The overall design suggests a dynamic and professional appearance. ![Image](https://gwgxilpxnvsdcsqnyzbj.supabase.co/storage/v1/object/public/user.files/0001/testing1_images/image_000004_325dee478923cf2d88141a9a4805e7ada08682acab167db5d26f52799247e13b.png) *Image Description:* The image is the logo of ""VTS."" It features the text ""VTS"" in bold, with an orange arc above the letters. The logo uses a simple, modern design with a gray and orange color scheme.","{""source"": ""testing1.md"", ""section"": ""Preamble"", ""position"": 1, ""user_id_owner"": ""0001""}",0001
09933b55-1f89-4122-bdf7-d98ca2549a91,"## General Information
1. **Top View (a)**: Displays the side of the unit with a pipe section containing coils and connecting pipes.","{""source"": ""testing1.md"", ""section"": ""General Information"", ""position"": 35, ""user_id_owner"": ""0001""}",0001
0a18e995-a41d-4888-b3e8-03b2fd377149,"## 4.2.1 Unit Location Recommendations
4. **Vent opening**: There's a visible opening for airflow outside.","{""source"": ""testing1.md"", ""section"": ""4.2.1 Unit Location Recommendations"", ""position"": 77, ""user_id_owner"": ""0032""}",0032
0aaff28e-7d2c-48c5-9977-ed4c092693de,"![Image](https://gwgxilpxnvsdcsqnyzbj.supabase.co/storage/v1/object/public/user.files/0032/testing1_images/image_000016_33138805fb5fb415469e26a9c65db599539043bd2669871f940adbb4dbe36d85.png)

*Image Description:* The image appears to be two different versions of a circular symbol. Each version displays what resembles a series of vertical white lines within a black circular border.","{""source"": ""testing1.md"", ""section"": ""2 Model Descriptions"", ""position"": 19, ""user_id_owner"": ""0032""}",0032
0d3cf044-4e2b-408c-9f02-b1349069702e,"![Image](https://gwgxilpxnvsdcsqnyzbj.supabase.co/storage/v1/object/public/user.files/0001/testing1_images/image_000031_056d00617369c6a80a5f23349e3802e8df6fb34a9300b98c3f920daa4efc5045.png)

*Image Description:* The image is a logo with the letters ""VTS"" in bold gray font. Above the ""V"" is an orange arc or swoosh. It represents an industrial or technical brand identity, likely related to transportation or logistics.","{""source"": ""testing1.md"", ""section"": ""FHEV:"", ""position"": 46, ""user_id_owner"": ""0001""}",0001
0da54ac9-7fba-46ea-9175-681d5377d09c,"## 4.1.1 Receiving Checklist
-  Inspect individual crates before accepting. Check for rattles, bent crates corners, or other visible indications of shipping damage.","{""source"": ""testing1.md"", ""section"": ""4.1.1 Receiving Checklist"", ""position"": 55, ""user_id_owner"": ""0001""}",0001
0fef099f-2f32-4f17-bab3-bd8768b91fc1,"![Image](https://gwgxilpxnvsdcsqnyzbj.supabase.co/storage/v1/object/public/user.files/0001/testing1_images/image_000021_ddcd61f3346617fe0731754e44508ee675c3b24642359f99a8035163adc1ded0.png)

*Image Description:* The image shows a logo for the VTS system, which appears to be related to Automated Building Systems (AHUs). It features the letters ""VTS"" with a curved part in orange above the letter ""V,"" representing the upward trajectory or lift function of an AHU.","{""source"": ""testing1.md"", ""section"": ""2 Model Descriptions"", ""position"": 24, ""user_id_owner"": ""0001""}",0001
14c5d8a4-9f5f-4c6d-9228-8f3527c2b11b,"![Image](https://gwgxilpxnvsdcsqnyzbj.supabase.co/storage/v1/object/public/user.files/0001/testing1_images/image_000009_c7c3efc64364e1d0c7440ba8be7229d1ecec2e9cc5de87e56843e0ce18ef1109.png)

*Image Description:* The image shows a cautionary sign with a yellow triangle and an exclamation mark inside, indicating a potential hazard or cautionary situation.","{""source"": ""testing1.md"", ""section"": ""SAFETY WARNING!"", ""position"": 7, ""user_id_owner"": ""0001""}",0001
